               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15195,             0.10201,            0.025474,             0.80463,             0.07779,            0.038526,           0.0085334,             0.12858,              0.1138,            0.018581,              0.0033,              0.0033,              0.0703
                   1,             0.13103,             0.15193,            0.017723,             0.63021,             0.16525,            0.098303,            0.024175,              0.1178,             0.12466,            0.014351,           0.0066134,           0.0066134,             0.04028
                   2,             0.12635,             0.17464,            0.014443,             0.59413,              0.1478,            0.069499,            0.016215,              0.1161,             0.13085,            0.013213,           0.0099069,           0.0099069,             0.01024
                   3,             0.12373,             0.16009,            0.013197,             0.65896,             0.20748,             0.15201,            0.041473,             0.10847,             0.11992,            0.011366,             0.00991,             0.00991,             0.00991
                   4,             0.12186,             0.16366,            0.011393,             0.51819,             0.29553,             0.25452,             0.07313,             0.10564,             0.12136,            0.010172,             0.00991,             0.00991,             0.00991
                   5,              0.1206,             0.15898,            0.010762,             0.54208,              0.3186,             0.28532,            0.085901,             0.10267,             0.12099,           0.0093217,             0.00988,             0.00988,             0.00988
                   6,             0.11836,             0.15673,           0.0096816,             0.61288,             0.34151,             0.32624,            0.097569,             0.10223,             0.12143,           0.0085569,             0.00985,             0.00985,             0.00985
                   7,             0.11834,             0.17005,           0.0092136,             0.64745,             0.33756,             0.33178,             0.10001,             0.10055,              0.1283,           0.0083139,             0.00982,             0.00982,             0.00982
                   8,             0.11755,             0.16527,           0.0094031,             0.65217,             0.34373,             0.34597,             0.10289,             0.10164,             0.12122,           0.0080895,             0.00979,             0.00979,             0.00979
                   9,              0.1157,             0.16069,           0.0088082,             0.68313,             0.33795,             0.35271,             0.10519,            0.099925,             0.12118,           0.0077448,             0.00976,             0.00976,             0.00976
                  10,             0.11558,             0.16207,           0.0087449,             0.68951,             0.36031,             0.37343,             0.11518,            0.099207,             0.12185,           0.0074803,             0.00973,             0.00973,             0.00973
                  11,             0.11554,             0.15653,           0.0088158,             0.68772,             0.35432,             0.38066,             0.11645,            0.099616,             0.12116,           0.0074466,              0.0097,              0.0097,              0.0097
                  12,             0.11525,              0.1695,           0.0080883,             0.68824,             0.36968,             0.38977,             0.12234,            0.098863,             0.12208,           0.0072924,             0.00967,             0.00967,             0.00967
                  13,             0.11511,              0.1671,           0.0080567,             0.70389,              0.3663,             0.40047,              0.1207,             0.09928,             0.12195,           0.0071134,             0.00964,             0.00964,             0.00964
                  14,             0.11407,              0.1647,           0.0082153,             0.71416,             0.37299,             0.42938,             0.13476,            0.098596,             0.12148,            0.006981,             0.00961,             0.00961,             0.00961
                  15,              0.1131,             0.15855,           0.0079782,             0.68825,             0.37103,             0.43826,             0.13574,            0.098579,             0.12127,           0.0068438,             0.00958,             0.00958,             0.00958
                  16,             0.11426,             0.16746,           0.0076875,             0.44639,             0.48082,             0.45629,             0.14301,            0.097846,             0.12172,           0.0066746,             0.00955,             0.00955,             0.00955
                  17,             0.11396,             0.16813,           0.0074679,             0.48972,             0.49221,             0.46373,             0.14226,            0.098009,             0.12198,           0.0065646,             0.00952,             0.00952,             0.00952
                  18,             0.11452,             0.16625,           0.0073599,             0.48979,             0.50034,             0.47913,             0.15316,            0.097649,             0.12145,           0.0064652,             0.00949,             0.00949,             0.00949
                  19,              0.1136,             0.16399,           0.0075717,             0.50631,             0.48631,             0.47538,              0.1542,            0.097397,              0.1218,            0.006453,             0.00946,             0.00946,             0.00946
                  20,             0.11392,             0.16427,           0.0069902,             0.58444,             0.49399,             0.50105,             0.15988,            0.097143,             0.12225,           0.0063551,             0.00943,             0.00943,             0.00943
                  21,             0.11387,             0.15867,           0.0070826,             0.63744,             0.47651,             0.52387,             0.16684,            0.097053,             0.12196,           0.0061586,              0.0094,              0.0094,              0.0094
